Symbol	NCBI_TaxID
LSAT_1X121600	4236
CASP9	9544
M4D2W6	51351
CASP2	9258
100781070	3847
F7FL02	9544
AEN	9544
ENDOG	13616
BCL2L10	9823
CASP10	9823
DIABLO	9823
M4EVR9	51351
A0A3B6G2E2	4565
BRAFLDRAFT_111442	7739
CASP8AP2	9544
BRAFLDRAFT_176443	7739
BRAFLDRAFT_256873	7739
MCL1	9544
A0A3B6GY71	4565
A0A1S4GXS5	7165
A0A1S4H358	7165
A0A1S4H717	7165
23153	81824
DICPUDRAFT_157558	5786
1982	81824
ced-9	6238
32345	81824
LOC100737977	9823
CDIP1	9823
TMEM117	9615
PPIF	9823
J9P7C5	9615
100844376	15368
XKR9	9823
XKR7	9823
DAPPUDRAFT_303833	6669
F1SIM9	9823
PML	9823
DDIT4	9615
AEN	9615
DNASE2B	9823
CASP6	9598
100817248	3847
TOP2A	9615
NGFR	9615
BRAFLDRAFT_111823	7739
HIPK2	9615
AIFM3	9615
CTSL3	9615
JMY	9544
ENDOG	9598
BNIP3L	9598
GSDMD	9598
CASP10	9544
BBC3	9544
MAP3K5	9544
PRKDC	9598
DELE1	9598
BCL2	9598
PRUNE2	9544
PRUPE_1G175000	3760
PRUPE_1G334800	3760
ctsL	8090
dcr-1	6238
TcasGA2_TC003841	7070
DNM1L	9796
POPTR_016G135100	3694
PML	9796
EndoG	7070
TcasGA2_TC009537	7070
PLEKHO2	9796
TcasGA2_TC009486	7070
TcasGA2_TC012581	7070
TcasGA2_TC012580	7070
TcasGA2_TC009362	7070
DAPL1	9258
IFI6	13616
wah-1	6238
TcasGA2_TC009740	7070
CDIP1	9796
IFI27L1	9544
BRAFLDRAFT_117890	7739
LOC100552932	28377
TcasGA2_TC013830	7070
BRAFLDRAFT_118367	7739
TcasGA2_TC002843	7070
CBG16997	6238
PRUNE2	9796
LOC111775633	9796
LOC107922280	3635
TNFRSF1A	9796
XKR8	9796
TcasGA2_TC003009	7070
TcasGA2_TC003010	7070
FAS	9823
TcasGA2_TC010999	7070
TcasGA2_TC011000	7070
TcasGA2_TC001950	7070
TcasGA2_TC011003	7070
CASP8AP2	13616
TNFRSF1B	9796
TcasGA2_TC014659	7070
FHIT	9796
FAM162A	9796
TcasGA2_TC013535	7070
TcasGA2_TC013683	7070
BRAFLDRAFT_124437	7739
DICER1	9796
TcasGA2_TC014026	7070
A0A5F4BV43	9615
100191776	4577
HTRA1	9796
LOC107810351	4097
TNFSF12	9615
CYFIP2	9796
CASP2	9615
CRIP1	9796
LOC107810839	4097
DICER1	9615
DFFB	9598
MANES_15G136000	3983
HannXRQ_Chr15g0481891	4232
XKR6	9796
TNFRSF11A	9913
TOP2A	9685
GSDMD	9615
tchp	8090
BNIP3	9685
BID	9615
BNIP2	9615
CASP7	9544
CYLD	9615
TMEM109	9598
11418811	3880
ERN2	9598
BBC3	9615
PRUPE_1G579600	3760
MANES_16G030700	3983
A0A3Q2LU38	9796
MANES_08G172100	3983
PRUNE2	9913
A0A3Q2LHL4	9796
ATM	9615
DELE1	9796
MCL1	9615
BAX	9615
CTSS	9615
GSK3A	9615
DNASE2B	9615
MAP3K5	9615
casp3	8090
HannXRQ_Chr02g0058351	4232
tnfrsf1a	8090
FASLG	9615
ERN1	9615
LOC101174474	8090
LOC101164922	8090
dnase2	8090
endog	8090
LOC101164719	8090
A0A1S4GA27	7165
GSDMA	9615
100826955	15368
A0A3B6H473	4565
100839902	15368
DFFB	9544
DEDD2	9796
CASP7	9796
PRUPE_4G051500	3760
MAP3K5	9796
LGALS12	9796
AIFM3	9823
LOC718594	9544
XKR4	9796
TMEM109	9823
TNFRSF10B	9544
LOC107794545	4097
BAD	9544
DNASE2B	9598
PRUPE_4G285900	3760
bcl2	8090
20217645	6412
PHLDA3	28377
20213786	6412
NGFR	28377
LSAT_7X22601	4236
CASP3	13616
LOC654275	13616
Os05g0557400	39947
DNASE1L3	28377
LOC101169237	8090
20215752	6412
NSL1	4232
LOC100561101	28377
CASP6	28377
HannXRQ_Chr06g0176441	4232
CASP8AP2	28377
BAK1	9796
100834800	15368
LOC104611121	4432
LOC109021492	51240
GSDMC	9796
STPG1	9796
LOC110017567	8090
20215915	6412
siva1	8090
hspd1	8090
A0A3B6JGU0	4565
20217649	6412
20211323	6412
LOC101160592	8090
20210890	6412
20210790	6412
20216885	6412
20216706	6412
cdk5	8090
LOC101164549	8090
20210326	6412
LOC101165916	8090
LOC101165175	8090
HannXRQ_Chr03g0067821	4232
20210134	6412
tnfrsf21	8090
20210015	6412
20210014	6412
20209906	6412
LOC101161728	8090
BOK	28377
20210429	6412
htra1	8090
LOC101154866	8090
20209212	6412
HIPK1	28377
TOP2A	28377
casp8ap2	8090
PRUNE2	28377
20214162	6412
20214001	6412
H2MXM9	8090
20216033	6412
MANES_07G024600	3983
LGALS12	9913
LSAT_1X112601	4236
CAD1	4232
JMY	9598
ATCAY	9598
CASP9	9615
LSAT_6X58161	4236
CTSV	9598
CDIP1	9598
DICER1	9598
BNIP2	9823
TNFRSF10C	9598
TNFRSF1A	9544
CASP2	9598
HIPK2	9598
BAK1	9598
CTSL	9598
TCM_029603	3641
EXOG	9598
BIK	9598
BID	9598
ctsS	8090
TNFRSF1A	9615
CASP8AP2	9615
LSAT_7X75680	4236
A0A3Q1LRT3	9913
TFPT	9598
PLEKHO2	9615
LOC101168720	8090
GSK3A	9598
AIFM1	9615
BCL2L1	9598
LOC101163518	8090
xkr9	8090
LOC100049265	8090
ddit4	8090
JMY	8090
ern1	8090
PPIF	8090
LOC101174197	8090
casp2	8090
20200741	6412
